"Path","Classification","TargetId","Length","Sha256","MatchesCanonical"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\design-dna-staging-2026-08-10\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"10335","0d64b83e92748440ff23199660e7a65400f4fac2fd18b1fa5766b2822cf8535d","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\playground-owner-feedback-2026-08-10\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\spec-v073-frontend-design-integration\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"8334","ca53d79b4d6a3fd07912f087eac26e9b8a9fb52cc88914f7224ae2caef10b150","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-production-execution-eb14cd81\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"16044","eeb436f36724e763e26def5b2dd1c8239a8177d3e58bb8ce71e7f27e77c51f3f","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s09-auth-reset-atomicity\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s09-lane-a\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s09-release-preflight\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s10-evidence-bb652506\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"16044","eeb436f36724e763e26def5b2dd1c8239a8177d3e58bb8ce71e7f27e77c51f3f","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s11-generator-eol\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s12-cloudflare-fresh-d1-startup-budget\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s12-internal-verification-aa083567\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"16044","eeb436f36724e763e26def5b2dd1c8239a8177d3e58bb8ce71e7f27e77c51f3f","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s12-lane-a2-access-directory\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s12-lane-a-closure\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s12-lane-a-current-ui\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s12-lane-a-mobile-topbar-gap\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s12-lane-d-denied-renderer\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s12-lane-g-generator-replacement\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s12-lane-p-revision-sync\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s12-lane-r2-request-search\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s12-lane-r-rv01-closure\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s12-lane-t-static-contract\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s12-lane-w-workspace-auth\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s12-recovery-4ded0bc2\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s12-rv01-post-review-truth\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v081-s12-v5-functional-closure\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v082-s06-controlled-a3477ae-20260813-2338\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v082-s06-controlled-replacement-a3477ae-20260813-2348\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v082-s06-serial-full-lf-a3477ae-20260814-0015\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v083-account-application-repository-prettier-b0c2aa0\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v083-disabled-enablement-gate-codex\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v083-eight-digit-verification-d23daef\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v083-gate-a-fixture-codex\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v083-id-c-source-projection-probe-codex\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v083-release-identity-version-correction-4fcd1ed\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v083-staff-account-activity-history-f3c28ba\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v083-staff-directory-projection-08d5c5b\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260820T173802Z\v83-idc-gate-a-audit-prep-2026-08-16\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"15741","819364b3fe617b830ed28d6fd103d9b4e2745c5ba57a2c1777ad8bcbead93596","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260821T163414Z\active\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"19753","83e75b3899b38b8aef61ea35961744e97e48b3271c12c9d3c4e582e753f6589f","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260821T163414Z\frontend-design-integration\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"19753","83e75b3899b38b8aef61ea35961744e97e48b3271c12c9d3c4e582e753f6589f","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260824T154759Z\active\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"21168","379d779d138ce1665c611733688bad30232a68df0586887c19d14fa2b866c438","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260824T154759Z\backend-r3-a1-a2-b1\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"21168","379d779d138ce1665c611733688bad30232a68df0586887c19d14fa2b866c438","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260824T154759Z\frontend-design-integration\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"33181","46289f915c5fe54c3b551d3a2db31a33f052d796bb47aab822d3eaf42be7c1f6","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260824T154759Z\v081-production-execution-eb14cd81\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"19753","83e75b3899b38b8aef61ea35961744e97e48b3271c12c9d3c4e582e753f6589f","False"
"D:\Documents\Codex\HAU-USC Logistics\backups\agents-consolidation-002\20260824T154759Z\v084-live-operations-performance\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"21168","379d779d138ce1665c611733688bad30232a68df0586887c19d14fa2b866c438","False"
"D:\Documents\Codex\HAU-USC Logistics\private-config\evidence\slice-13-demo-20260716\gate-b-20260718-113245\history-a3fffb9-full\AGENTS.md","ARCHIVED_OR_HISTORICAL",,"3622","b1b439b808adfaa5d54d6a1a20465f7acee9180def61675ff007fe115db7e910","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\backend-r3-a1-a2-b1\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:backend-r3-a1-a2-b1","21645","85f2575bdd22342f02baa6540725b5837a8fe72d6def368d1f33ea94a22720d2","True"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\frontend-design-integration\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:frontend-design-integration","21645","85f2575bdd22342f02baa6540725b5837a8fe72d6def368d1f33ea94a22720d2","True"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-production-execution-eb14cd81\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-production-execution-eb14cd81","21645","85f2575bdd22342f02baa6540725b5837a8fe72d6def368d1f33ea94a22720d2","True"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-s10-evidence-bb652506\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-s10-evidence-bb652506","19753","83e75b3899b38b8aef61ea35961744e97e48b3271c12c9d3c4e582e753f6589f","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-s12-internal-verification-aa083567\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-s12-internal-verification-aa083567","19753","83e75b3899b38b8aef61ea35961744e97e48b3271c12c9d3c4e582e753f6589f","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v081-s12-recovery-4ded0bc2\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v081-s12-recovery-4ded0bc2","19753","83e75b3899b38b8aef61ea35961744e97e48b3271c12c9d3c4e582e753f6589f","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v082-s06-controlled-a3477ae-20260813-2338\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v082-s06-controlled-a3477ae-20260813-2338","19753","83e75b3899b38b8aef61ea35961744e97e48b3271c12c9d3c4e582e753f6589f","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v082-s06-controlled-replacement-a3477ae-20260813-2348\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v082-s06-controlled-replacement-a3477ae-20260813-2348","19753","83e75b3899b38b8aef61ea35961744e97e48b3271c12c9d3c4e582e753f6589f","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v082-s06-serial-full-lf-a3477ae-20260814-0015\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v082-s06-serial-full-lf-a3477ae-20260814-0015","19753","83e75b3899b38b8aef61ea35961744e97e48b3271c12c9d3c4e582e753f6589f","False"
"D:\Documents\Codex\HAU-USC Logistics\worktrees\v084-live-operations-performance\AGENTS.md","WORKTREE_REPLICA","hau-usc-logistics-worktree:v084-live-operations-performance","21645","85f2575bdd22342f02baa6540725b5837a8fe72d6def368d1f33ea94a22720d2","True"
"D:\Documents\Codex\worktrees\astral-bridge-agents-authorized-efc7a12\AGENTS.md","WORKTREE_REPLICA","astral-bridge-worktree:astral-bridge-agents-authorized-efc7a12","19753","83e75b3899b38b8aef61ea35961744e97e48b3271c12c9d3c4e582e753f6589f","False"
"D:\Documents\Codex\worktrees\astral-bridge-agents-consolidation-001\AGENTS.md","WORKTREE_REPLICA","astral-bridge-worktree:astral-bridge-agents-consolidation-001","19753","83e75b3899b38b8aef61ea35961744e97e48b3271c12c9d3c4e582e753f6589f","False"
